key0000000000502,val0000000000502
key0000000000742,val0000000000742
key0000000000942,val0000000000942
key0000000000612,val0000000000612
key0000000000812,val0000000000812
key0000000000952,val0000000000952
key0000000000362,val0000000000362
key0000000000072,val0000000000072
key0000000000452,val0000000000452
key0000000000922,val0000000000922
key0000000000772,val0000000000772
key0000000000292,val0000000000292
key0000000000782,val0000000000782
key0000000000892,val0000000000892
key0000000000622,val0000000000622
key0000000000102,val0000000000102
key0000000000012,val0000000000012
key0000000000832,val0000000000832
key0000000000992,val0000000000992
key0000000000272,val0000000000272
key0000000000322,val0000000000322
key0000000000932,val0000000000932
key0000000000402,val0000000000402
key0000000000332,val0000000000332
key0000000000632,val0000000000632
key0000000000232,val0000000000232
key0000000000242,val0000000000242
key0000000000652,val0000000000652
key0000000000702,val0000000000702
key0000000000122,val0000000000122
key0000000000302,val0000000000302
key0000000000562,val0000000000562
key0000000000342,val0000000000342
key0000000000382,val0000000000382
key0000000000672,val0000000000672
key0000000000582,val0000000000582
key0000000000982,val0000000000982
key0000000000212,val0000000000212
key0000000000202,val0000000000202
key0000000000662,val0000000000662
key0000000000092,val0000000000092
key0000000000862,val0000000000862
key0000000000722,val0000000000722
key0000000000592,val0000000000592
key0000000000522,val0000000000522
key0000000000142,val0000000000142
key0000000000182,val0000000000182
key0000000000422,val0000000000422
key0000000000152,val0000000000152
key0000000000412,val0000000000412
key0000000000762,val0000000000762
key0000000000002,val0000000000002
key0000000000462,val0000000000462
key0000000000642,val0000000000642
key0000000000082,val0000000000082
key0000000000052,val0000000000052
key0000000000972,val0000000000972
key0000000000172,val0000000000172
key0000000000822,val0000000000822
key0000000000132,val0000000000132
key0000000000912,val0000000000912
key0000000000872,val0000000000872
key0000000000902,val0000000000902
key0000000000692,val0000000000692
key0000000000112,val0000000000112
key0000000000842,val0000000000842
key0000000000602,val0000000000602
key0000000000032,val0000000000032
key0000000000712,val0000000000712
key0000000000372,val0000000000372
key0000000000282,val0000000000282
key0000000000542,val0000000000542
key0000000000852,val0000000000852
key0000000000222,val0000000000222
key0000000000352,val0000000000352
key0000000000492,val0000000000492
key0000000000962,val0000000000962
key0000000000792,val0000000000792
key0000000000252,val0000000000252
key0000000000472,val0000000000472
key0000000000682,val0000000000682
key0000000000042,val0000000000042
key0000000000432,val0000000000432
key0000000000512,val0000000000512
key0000000000312,val0000000000312
key0000000000572,val0000000000572
key0000000000482,val0000000000482
key0000000000552,val0000000000552
key0000000000802,val0000000000802
key0000000000062,val0000000000062
key0000000000022,val0000000000022
key0000000000882,val0000000000882
key0000000000192,val0000000000192
key0000000000752,val0000000000752
key0000000000732,val0000000000732
key0000000000392,val0000000000392
key0000000000262,val0000000000262
key0000000000442,val0000000000442
key0000000000532,val0000000000532
key0000000000162,val0000000000162
